State,Post_2005,Post_2006,Post_2007,Post_2008,Post_2009,Post_2010,Post_2011,Post_2012,Post_2013,Post_2014,Post_2015,Post_2016,Post_2017,Post_2018,Post_2019,Post_2020,Post_2021,Post_2022
Gujarat_Gandhinagar,63.0425,61.87875,62.61125,59.9625,62.12375,64.715,67.0625,60.17625,58.3375,64.21625,59.0875,62.70125,60.84625,57.59,57.39375,61.56136959,49.00469619,60.79216056
Gujarat_Jamnagar,7.556981132,5.286603774,3.4425,5.3175,5.725192308,3.526666667,4.452692308,10.025,4.32,7.3892,10.56857143,9.399183673,8.048085106,7.752173913,4.020638298,7.869809132,4.77952071,7.91586543
Gujarat_Junagadh,8.179122807,7.773684211,5.546724138,6.644655172,8.442413793,5.254827586,6.712586207,12.53163636,8.856545455,8.542909091,10.88254545,9.631272727,9.166851852,7.118679245,5.982264151,8.12147208,6.727963376,8.074006083
Gujarat_Kachchh,13.88909091,12.42121212,12.06833333,14.18939394,11.76,12.80769231,13.02419355,13.75766667,15.1545,17.35728814,16.875,17.19381818,11.53176471,18.76907407,17.32925926,17.5032463,17.43680455,16.67525279
Gujarat_Kheda,7.99952381,7.948571429,7.22,6.312857143,8.197142857,7.216666667,7.636666667,8.12,6.277619048,6.416190476,7.54047619,6.99952381,7.403333333,7.654,6.324,7.771311435,6.293666679,7.718452571
Gujarat_Mahesana,39.16083333,37.50875,36.5375,35.55375,36.21541667,37.96625,35.875,35.68782609,38.53478261,45.34652174,42.08130435,42.74043478,17.1655,19.097,19.998,34.07828061,29.93291104,31.04146278
Gujarat_Narmada,11.74714286,11.18571429,10.31285714,10.59357143,11.33571429,9.776923077,10.75769231,10.11923077,10.40153846,9.298461538,10.00384615,8.991538462,10.79846154,10.04153846,9.286923077,10.48947744,8.040781824,10.06359164
Gujarat_Navsari,6.098235294,5.649411765,5.668823529,5.378823529,6.21,5.288235294,4.431176471,6.615294118,4.07375,5.42875,6.6925,5.369375,4.74875,5.610625,5.414375,5.489704873,5.256577452,5.511665623
Gujarat_Panch Mahals,4.74875,3.28,4.258333333,5.635,6.6475,4.858333333,4.395833333,4.549166667,3.557916667,4.004347826,6.567826087,4.369130435,5.077826087,4.609090909,4.211428571,4.563764446,4.145235513,4.878478412
Gujarat_Patan,30.49526316,28.35444444,27.86647059,28.57263158,31.62947368,34.03,31.74588235,30.72625,24.22555556,23.45052632,23.17947368,28.23,25.40071429,33.58571429,30.33375,31.22704279,29.43984133,28.32324043
Gujarat_Porbandar,6.546,5.158666667,4.051333333,4.592666667,5.117333333,3.154,3.777142857,9.921428571,3.338,3.675333333,8.953333333,6.374,5.861333333,5.525333333,3.152,5.938158766,3.677630644,5.638569316
Gujarat_Rajkot,5.596785714,4.281071429,4.323035714,4.154107143,7.039298246,3.929642857,4.703454545,9.917592593,5.000363636,6.775438596,7.484035088,7.125614035,6.771454545,6.712641509,4.060185185,6.786456061,5.512350883,6.734241891
Gujarat_Sabar Kantha,12.79,6.754473684,7.171,10.3,11.735,10.63095238,9.390731707,9.532105263,7.757948718,8.361,9.012439024,8.897692308,8.581052632,10.76142857,7.039428571,10.41978661,7.072765484,10.08081261
Gujarat_Surat,5.287037037,5.083703704,5.082962963,4.852222222,5.391481481,4.829615385,3.8832,5.6644,4.6004,5.0508,5.1152,4.747083333,4.96625,3.624583333,3.702173913,3.846061181,4.20999304,3.966220472
