,State,Pre_2005,Pre_2006,Pre_2007,Pre_2008,Pre_2009,Pre_2010,Pre_2011,Pre_2012,Pre_2013,Pre_2014,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pre_2020,Pre_2021,Pre_2022
203,Karnataka_Kodagu,,,,,,,,,,,,,,,,,,
204,Karnataka_Kolar,,,,,,,,,,,,,,,,,,
205,Karnataka_Koppal,,,,,,,,,,,,,,,,,,
206,Karnataka_Mandya,,,,,,,,,,,,,,,,,,
207,Karnataka_Mysore,,,,,,,,,,,,,,,,,,
208,Karnataka_Raichur,,,,,,,,,,,,,,,,,,
209,Karnataka_Ramanagara,,,,,,,,,,,,,,,,,,
210,Karnataka_Shimoga,,,,,,,,,,,,,,,,,,
211,Karnataka_Tumkur,,,,,,,,,,,,,,,,,,
212,Karnataka_Udupi,,,,,,,,,,,,,,,,,,
213,Karnataka_Uttara Kannada,,,,,,,,,,,,,,,,,,
214,Karnataka_Yadgir,,,,,,,,,,,,,,,,,,
215,Kerala_Alappuzha,,,,,,,,,,,,,,,,,,
216,Kerala_Ernakulam,,,,,,,,,,,,,,,,,,
217,Kerala_Idukki,,,,,,,,,,,,,,,,,,
218,Kerala_Kannur,,,,,,,,,,,,,,,,,,
219,Kerala_Kasaragod,,,,,,,,,,,,,,,,,,
220,Kerala_Kollam,,,,,,,,,,,,,,,,,,
221,Kerala_Kottayam,,,,,,,,,,,,,,,,,,
222,Kerala_Kozhikode,,,,,,,,,,,,,,,,,,
223,Kerala_Malappuram,,,,,,,,,,,,,,,,,,
224,Kerala_Palakkad,,,,,,,,,,,,,,,,,,
225,Kerala_Pathanamthitta,,,,,,,,,,,,,,,,,,
226,Kerala_Thiruvananthapuram,,,,,,,,,,,,,,,,,,
227,Kerala_Thrissur,,,,,,,,,,,,,,,,,,
228,Kerala_Wayanad,,,,,,,,,,,,,,,,,,
229,Madhya Pradesh_Alirajpur,,,,,,,,,,,,,,,,,,
230,Madhya Pradesh_Anuppur,,,,,,,,,,,,,,,,,,
231,Madhya Pradesh_Ashoknagar,,,,,,,,,,,,,,,,,,
232,Madhya Pradesh_Balaghat,,,,,,,,,,,,,,,,,,
233,Madhya Pradesh_Barwani,,,,,,,,,,,,,,,,,,
234,Madhya Pradesh_Betul,,,,,,,,,,,,,,,,,,
235,Madhya Pradesh_Bhind,,,,,,,,,,,,,,,,,,
236,Madhya Pradesh_Bhopal,,,,,,,,,,,,,,,,,,
237,Madhya Pradesh_Burhanpur,,,,,,,,,,,,,,,,,,
238,Madhya Pradesh_Chhatarpur,,,,,,,,,,,,,,,,,,
239,Madhya Pradesh_Chhindwara,,,,,,,,,,,,,,,,,,
240,Madhya Pradesh_Damoh,,,,,,,,,,,,,,,,,,
241,Madhya Pradesh_Datia,,,,,,,,,,,,,,,,,,
242,Madhya Pradesh_Dewas,,,,,,,,,,,,,,,,,,
243,Madhya Pradesh_Dhar,,,,,,,,,,,,,,,,,,
244,Madhya Pradesh_Dindori,,,,,,,,,,,,,,,,,,
245,Madhya Pradesh_East Nimar,,,,,,,,,,,,,,,,,,
246,Madhya Pradesh_Guna,,,,,,,,,,,,,,,,,,
247,Madhya Pradesh_Gwalior,,,,,,,,,,,,,,,,,,
248,Madhya Pradesh_Harda,,,,,,,,,,,,,,,,,,
249,Madhya Pradesh_Hoshangabad,,,,,,,,,,,,,,,,,,
250,Madhya Pradesh_Indore,,,,,,,,,,,,,,,,,,
251,Madhya Pradesh_Jabalpur,,,,,,,,,,,,,,,,,,
252,Madhya Pradesh_Jhabua,,,,,,,,,,,,,,,,,,
253,Madhya Pradesh_Katni,,,,,,,,,,,,,,,,,,
254,Madhya Pradesh_Mandla,,,,,,,,,,,,,,,,,,
255,Madhya Pradesh_Mandsaur,,,,,,,,,,,,,,,,,,
256,Madhya Pradesh_Morena,,,,,,,,,,,,,,,,,,
257,Madhya Pradesh_Narsimhapur,,,,,,,,,,,,,,,,,,
258,Madhya Pradesh_Neemuch,,,,,,,,,,,,,,,,,,
259,Madhya Pradesh_Panna,,,,,,,,,,,,,,,,,,
260,Madhya Pradesh_Raisen,,,,,,,,,,,,,,,,,,
261,Madhya Pradesh_Rajgarh,,,,,,,,,,,,,,,,,,
262,Madhya Pradesh_Ratlam,,,,,,,,,,,,,,,,,,
263,Madhya Pradesh_Rewa,,,,,,,,,,,,,,,,,,
264,Madhya Pradesh_Sagar,,,,,,,,,,,,,,,,,,
265,Madhya Pradesh_Satna,,,,,,,,,,,,,,,,,,
266,Madhya Pradesh_Sehore,,,,,,,,,,,,,,,,,,
267,Madhya Pradesh_Seoni,,,,,,,,,,,,,,,,,,
268,Madhya Pradesh_Shahdol,,,,,,,,,,,,,,,,,,
269,Madhya Pradesh_Shajapur,,,,,,,,,,,,,,,,,,
270,Madhya Pradesh_Sheopur,,,,,,,,,,,,,,,,,,
271,Madhya Pradesh_Shivpuri,,,,,,,,,,,,,,,,,,
272,Madhya Pradesh_Sidhi,,,,,,,,,,,,,,,,,,
273,Madhya Pradesh_Singrauli,,,,,,,,,,,,,,,,,,
274,Madhya Pradesh_Tikamgarh,,,,,,,,,,,,,,,,,,
275,Madhya Pradesh_Ujjain,,,,,,,,,,,,,,,,,,
276,Madhya Pradesh_Umaria,,,,,,,,,,,,,,,,,,
277,Madhya Pradesh_Vidisha,,,,,,,,,,,,,,,,,,
278,Madhya Pradesh_West Nimar,,,,,,,,,,,,,,,,,,
279,Maharashtra_Ahmadnagar,,,,,,,,,,,,,,,,,,
280,Maharashtra_Akola,,,,,,,,,,,,,,,,,,
281,Maharashtra_Amravati,,,,,,,,,,,,,,,,,,
282,Maharashtra_Aurangabad,,,,,,,,,,,,,,,,,,
283,Maharashtra_Bhandara,,,,,,,,,,,,,,,,,,
284,Maharashtra_Bid,,,,,,,,,,,,,,,,,,
285,Maharashtra_Buldana,,,,,,,,,,,,,,,,,,
286,Maharashtra_Chandrapur,,,,,,,,,,,,,,,,,,
