State,Pre_2005,Pre_2006,Pre_2007,Pre_2008,Pre_2009,Pre_2010,Pre_2011,Pre_2012,Pre_2013,Pre_2014,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pre_2020,Pre_2021,Pre_2022
Bihar_Nalanda,3.954444444,2.773333333,3.182222222,3.513333333,3.448888889,4.946666667,5.3975,3.63875,4.043333333,4.118888889,4.395555556,4.586666667,4.584444444,4.895555556,6.245555556,4.705834558,4.753433365,4.618162438
Bihar_Nawada,5.407142857,4.5875,5.051428571,4.994285714,3.8575,4.90625,5.56625,5.843333333,7.102857143,5.677142857,6.05875,6.27875,5.86125,6.29125,7.13125,5.725260773,6.80625183,5.948777241
Bihar_Pashchim Champaran,3.61,3.707,4.326,4.263,3.788,3.674,3.348888889,4.4025,4.16625,3.363333333,3.794444444,3.717777778,3.263333333,3.681111111,4.071111111,3.5918983,4.016474721,3.610424172
Bihar_Patna,6.765,5.187,6.063636364,5.931818182,6.413636364,6.418181818,6.832,5.93,5.634,5.442,6.755,5.63,5.369,6.729090909,6.076363636,6.243183397,5.857472926,5.939350285
Bihar_Purba Champaran,3.907333333,3.61,3.769333333,3.760714286,3.925384615,3.762857143,4.924285714,3.871428571,4.693571429,2.91,4.071333333,3.663333333,3.586,3.732666667,3.961333333,3.673903789,4.075656257,3.707396585
Bihar_Purnia,3.843333333,3.08,3.422857143,3.2,4.202857143,3.554285714,4.023333333,3.803333333,4.578333333,3.85,4.805,3.77,3.76,4.086666667,4.56,3.964217934,4.426455568,4.059218921
Bihar_Rohtas,6.529230769,6.034615385,6.897692308,5.970769231,5.847692308,7.066923077,7.078461538,7.653076923,7.334615385,7.023846154,6.877692308,7.861538462,7.617692308,8.829230769,8.673846154,8.25773416,8.469576962,8.480501039
Bihar_Saharsa,3.755555556,3.402222222,3.22875,3.177777778,3.485555556,3.392222222,3.88375,4.182857143,4.01,3.29,2.92125,3.13125,3.385,3.55125,4.53375,3.456203842,3.941696313,3.64509886
Bihar_Samastipur,5.45,5.853,6.446,4.899,5.406,6.252,8.302222222,7.177777778,6.761111111,7.415555556,6.67,8.603333333,6.224444444,6.373333333,7.91,6.968245507,7.402234375,6.675863527
Bihar_Saran,5.245833333,3.946363636,5.114166667,4.465833333,4.8475,7.235833333,6.255,6.234166667,5.453333333,4.965833333,5.085833333,6.03,5.006666667,5.985,7.705,5.919675419,5.967773242,5.73080871
Bihar_Sheikhpura,7.775,5.7,3.31,3.31,3.31,6.15,7.15,7.07,8.535,5.315,2.85,5.515,6.915,6.115,8.63,6.306280127,7.785824524,6.344717688
Bihar_Sheohar,3.92,3.92,3.92,3.92,2.54,1.14,2.2,6.53,3.36,3.1,1.06,7,1.5,7,7,5.209043437,6.334042805,5.614367567
Bihar_Sitamarhi,3.525,3.0575,3.58,3.0425,3.2625,4.4075,2.9175,3.865,3.615,3.6925,2.8575,4.71,3.5775,2.83,2.8625,4.006067712,3.075766923,3.189927217
Bihar_Siwan,4.264444444,3.751,4.230909091,4.460909091,4.363636364,6.333636364,5.873333333,6.091111111,4.611111111,4.243,4.426,5.51,4.415,5.982727273,6.358181818,5.64793475,6.080276209,5.270523476
Bihar_Supaul,2.804,2.534166667,2.42,3.3125,3.484166667,2.605833333,2.599,2.932,2.46,2.702,2.909166667,2.428333333,2.956666667,2.315833333,3.094166667,2.664562214,2.719361738,2.569075158
Bihar_Vaishali,6.153333333,6.33,6.461666667,5.92,5.543333333,6.895,7.308333333,6.225,5.608571429,6.324285714,5.455714286,6.172857143,6.688333333,6.686666667,6.63,6.569841418,6.503190101,6.616527794
Chandigarh_Chandigarh,13.67111111,13.71625,12.32875,17.01818182,16.30363636,16.58909091,16.29181818,17.84363636,18.13727273,17.52363636,18.25181818,16.96909091,19.495,19.689,18.20363636,19.62918971,18.95096546,19.45841757
Chhattisgarh_Bastar,7.110769231,6.288076923,6.1336,5.935909091,7.196666667,5.086190476,5.974285714,5.653684211,6.9795,5.972380952,5.228,7.65,8.092,5.669130435,5.777916667,6.309731962,5.953304261,6.483229887
Chhattisgarh_Bilaspur,7.908571429,8.454571429,8.653714286,8.495142857,8.744285714,8.631428571,8.614117647,8.396060606,8.5603125,7.328181818,7.972727273,7.929393939,8.213333333,9.549354839,9.1546875,9.269246951,9.006185296,9.115643779
Chhattisgarh_Dantewada,6.798888889,4.158888889,4.84,5.467777778,5.01,2.348333333,2.348333333,2.348333333,1.58533221,1.012057487,6.414,6.206,6.716666667,2.822,3.16,6.373493091,4.552120188,5.460569743
Chhattisgarh_Dhamtari,6.806666667,5.875333333,6.571333333,6.130666667,7.228666667,7.262666667,5.714285714,6.792,6.759333333,6.090666667,4.756,8.233333333,6.724,5.906666667,6.054666667,6.811093978,5.908586857,6.39593479
Chhattisgarh_Durg,7.457,7.017,7.438,7.499,8.008333333,7.005882353,6.746111111,7.466111111,7.201578947,6.7525,5.509,6.3275,7.503157895,6.037894737,7.504444444,7.359393005,6.880128105,6.778574394
